,date,m12
0,2018-12-05,3.3981
1,2018-12-06,3.3671
2,2018-12-07,3.3506
3,2018-12-10,3.3109
4,2018-12-11,3.2978
5,2018-12-12,3.2705
6,2018-12-13,3.2479
7,2018-12-14,3.2612
8,2018-12-17,3.2574
9,2018-12-18,3.2589
10,2018-12-19,3.2536
11,2018-12-20,3.2553
12,2018-12-21,3.2662
13,2018-12-24,3.3663
14,2018-12-25,3.3816
15,2018-12-26,3.4261
16,2018-12-27,3.4458
17,2018-12-28,3.4879
18,2018-12-29,3.4358
19,2019-01-02,3.5146
20,2019-01-03,3.2877
21,2019-01-04,3.2393
22,2019-01-07,3.1506
23,2019-01-08,3.0192
24,2019-01-09,3.0526
25,2019-01-10,3.1285
26,2019-01-11,3.2145
27,2019-01-14,3.1889
28,2019-01-15,3.1861
29,2019-01-16,3.2177
30,2019-01-17,3.2665
31,2019-01-18,3.3105
32,2019-01-21,3.2893
33,2019-01-22,3.2967
34,2019-01-23,3.3108
35,2019-01-24,3.3271
36,2019-01-25,3.3588
37,2019-01-28,3.3926
38,2019-01-29,3.4394
39,2019-01-30,3.5153
40,2019-01-31,3.5492
41,2019-02-01,3.3726
42,2019-02-02,3.2893
43,2019-02-11,3.3608
44,2019-02-12,3.2982
45,2019-02-13,3.2557
46,2019-02-14,3.2595
47,2019-02-15,3.2857
48,2019-02-18,3.3151
49,2019-02-19,3.316
50,2019-02-20,3.2824
51,2019-02-21,3.266
52,2019-02-22,3.2735
53,2019-02-25,3.2962
54,2019-02-26,3.2753
55,2019-02-27,3.2123
56,2019-02-28,3.1759
57,2019-03-01,3.2142
58,2019-03-04,3.2294
59,2019-03-05,3.2645
60,2019-03-06,3.2773
61,2019-03-07,3.2847
62,2019-03-08,3.2712
63,2019-03-11,3.2752
64,2019-03-12,3.2738
65,2019-03-13,3.2765
66,2019-03-14,3.2629
67,2019-03-15,3.275
68,2019-03-18,3.271
69,2019-03-19,3.2777
70,2019-03-20,3.2683
71,2019-03-21,3.2573
72,2019-03-22,3.2454
73,2019-03-25,3.2609
74,2019-03-26,3.2946
75,2019-03-27,3.3579
76,2019-03-28,3.4215
77,2019-03-29,3.5813
78,2019-04-01,3.3235
79,2019-04-02,3.2554
80,2019-04-03,3.2585
81,2019-04-04,3.2533
82,2019-04-08,3.2567
83,2019-04-09,3.2713
84,2019-04-10,3.2782
85,2019-04-11,3.2881
86,2019-04-12,3.309
87,2019-04-15,3.3333
88,2019-04-16,3.348
89,2019-04-17,3.3665
90,2019-04-18,3.344
91,2019-04-19,3.2994
92,2019-04-22,3.3034
93,2019-04-23,3.3553
94,2019-04-24,3.3737
95,2019-04-25,3.376
96,2019-04-26,3.3656
97,2019-04-28,3.3146
98,2019-04-29,3.2486
99,2019-04-30,3.2334
100,2019-05-05,3.2553
101,2019-05-06,3.2873
102,2019-05-07,3.2685
103,2019-05-08,3.2467
104,2019-05-09,3.2474
105,2019-05-10,3.2514
106,2019-05-13,3.2476
107,2019-05-14,3.2503
108,2019-05-15,3.25
109,2019-05-16,3.2511
110,2019-05-17,3.2434
111,2019-05-20,3.2205
112,2019-05-21,3.2175
113,2019-05-22,3.2159
114,2019-05-23,3.2138
115,2019-05-24,3.2244
116,2019-05-27,3.2346
117,2019-05-28,3.2574
118,2019-05-29,3.2588
119,2019-05-30,3.2234
120,2019-05-31,3.2107
121,2019-06-03,3.225
122,2019-06-04,3.225
123,2019-06-05,3.2269
124,2019-06-06,3.2303
125,2019-06-10,3.2372
126,2019-06-11,3.2308
127,2019-06-12,3.2279
128,2019-06-13,3.2231
129,2019-06-14,3.2127
130,2019-06-17,3.2239
131,2019-06-18,3.2118
132,2019-06-19,3.207
133,2019-06-20,3.2175
134,2019-06-21,3.2162
135,2019-06-24,3.2155
136,2019-06-25,3.2233
137,2019-06-26,3.2176
138,2019-06-27,3.2145
139,2019-06-28,3.2081
140,2019-07-01,3.2267
141,2019-07-02,3.2064
142,2019-07-03,3.1807
143,2019-07-04,3.1212
144,2019-07-05,3.0707
145,2019-07-08,3.0902
146,2019-07-09,3.0743
147,2019-07-10,3.0436
148,2019-07-11,3.0334
149,2019-07-12,3.0242
150,2019-07-15,3.0089
151,2019-07-16,2.9909
152,2019-07-17,2.9711
153,2019-07-18,2.9492
154,2019-07-19,2.9273
155,2019-07-22,2.9146
156,2019-07-23,2.8653
157,2019-07-24,2.8175
158,2019-07-25,2.7621
159,2019-07-26,2.6741
160,2019-07-29,2.5988
161,2019-07-30,2.4188
162,2019-07-31,2.2387
163,2019-08-01,2.6033
164,2019-08-02,2.6229
165,2019-08-05,2.5423
166,2019-08-06,2.4413
167,2019-08-07,2.372
168,2019-08-08,2.4359
169,2019-08-09,2.3926
170,2019-08-12,2.4019
171,2019-08-13,2.392
172,2019-08-14,2.3838
173,2019-08-15,2.3744
174,2019-08-16,2.3876
175,2019-08-19,2.431
176,2019-08-20,2.5744
177,2019-08-21,2.585
178,2019-08-22,2.6227
179,2019-08-23,2.8365
180,2019-08-26,2.7929
181,2019-08-27,2.843
182,2019-08-28,2.8406
183,2019-08-29,2.699
184,2019-08-30,2.6288
185,2019-09-02,2.8199
186,2019-09-03,2.776
187,2019-09-04,2.7757
188,2019-09-05,2.7554
189,2019-09-06,2.6805
190,2019-09-09,2.636
191,2019-09-10,2.6973
192,2019-09-11,2.6963
193,2019-09-12,2.725
194,2019-09-16,2.7129
195,2019-09-17,2.736
196,2019-09-18,2.7305
197,2019-09-19,2.7373
198,2019-09-20,2.7807
199,2019-09-23,2.7994
200,2019-09-24,2.8212
201,2019-09-25,2.8191
202,2019-09-26,2.803
203,2019-09-27,2.829
204,2019-09-29,2.9423
205,2019-09-30,2.9718
206,2019-10-08,2.8326
207,2019-10-09,2.8135
208,2019-10-10,2.7894
209,2019-10-11,2.7992
210,2019-10-12,2.808
211,2019-10-14,2.8245
212,2019-10-15,2.8252
213,2019-10-16,2.8201
214,2019-10-17,2.8342
215,2019-10-18,2.833
216,2019-10-21,2.8406
217,2019-10-22,2.8409
218,2019-10-23,2.8562
219,2019-10-24,2.8747
220,2019-10-25,2.8482
221,2019-10-28,2.7853
222,2019-10-29,2.7032
223,2019-10-30,2.6637
224,2019-10-31,2.6702
225,2019-11-01,2.8018
226,2019-11-04,2.7969
227,2019-11-05,2.8035
228,2019-11-06,2.759
229,2019-11-07,2.7113
230,2019-11-08,2.7286
231,2019-11-11,2.7086
232,2019-11-12,2.6819
233,2019-11-13,2.6198
234,2019-11-14,2.6117
235,2019-11-15,2.6078
236,2019-11-18,2.5991
237,2019-11-19,2.5729
238,2019-11-20,2.5202
239,2019-11-21,2.4004
240,2019-11-22,2.3072
241,2019-11-25,2.2274
242,2019-11-26,2.244
243,2019-11-27,2.2929
244,2019-11-28,2.4396
245,2019-11-29,2.4553
246,2019-12-02,2.5097
247,2019-12-03,2.5005
248,2019-12-04,2.4086
249,2019-12-05,2.3892
250,2019-12-06,2.401
251,2019-12-09,2.4356
252,2019-12-10,2.4839
253,2019-12-11,2.5641
254,2019-12-12,2.6502
255,2019-12-13,2.6797
256,2019-12-16,2.6888
257,2019-12-17,2.6532
258,2019-12-18,2.596
259,2019-12-19,2.5844
260,2019-12-20,2.618
261,2019-12-23,2.6829
262,2019-12-24,2.689
263,2019-12-25,2.6871
264,2019-12-26,2.7851
265,2019-12-27,2.8792
266,2019-12-30,2.8169
267,2019-12-31,2.622
268,2020-01-02,2.5509
269,2020-01-03,2.5704
270,2020-01-06,2.6614
271,2020-01-07,2.6927
272,2020-01-08,2.7112
273,2020-01-09,2.7312
274,2020-01-10,2.7858
275,2020-01-13,2.7621
276,2020-01-14,2.7186
277,2020-01-15,2.7045
278,2020-01-16,2.7301
279,2020-01-17,2.7743
280,2020-01-19,2.7991
281,2020-01-20,2.867
282,2020-01-21,2.8804
283,2020-01-22,2.8871
284,2020-02-03,2.7021
285,2020-02-04,2.6261
286,2020-02-05,2.594
287,2020-02-06,2.5457
288,2020-02-07,2.5
289,2020-02-10,2.5097
290,2020-02-11,2.5071
291,2020-02-12,2.5472
292,2020-02-13,2.6218
293,2020-02-14,2.5966
294,2020-02-17,2.5229
295,2020-02-18,2.5072
296,2020-02-19,2.5139
297,2020-02-20,2.553
298,2020-02-21,2.5995
299,2020-02-24,2.6017
300,2020-02-25,2.5868
301,2020-02-26,2.5445
302,2020-02-27,2.5761
303,2020-02-28,2.5932
304,2020-03-02,2.5925
305,2020-03-03,2.5945
306,2020-03-04,2.6048
307,2020-03-05,2.6088
308,2020-03-06,2.5975
309,2020-03-09,2.5658
310,2020-03-10,2.5267
311,2020-03-11,2.5217
312,2020-03-12,2.5463
313,2020-03-13,2.5271
314,2020-03-16,2.5004
315,2020-03-17,2.4953
316,2020-03-18,2.5167
317,2020-03-19,2.5314
318,2020-03-20,2.5397
319,2020-03-23,2.5516
320,2020-03-24,2.5486
321,2020-03-25,2.5651
322,2020-03-26,2.63
323,2020-03-27,2.6369
324,2020-03-30,2.775
325,2020-03-31,2.8229
326,2020-04-01,2.5176
327,2020-04-02,2.5068
328,2020-04-03,2.4931
329,2020-04-07,2.4595
330,2020-04-08,2.4002
331,2020-04-09,2.3548
332,2020-04-10,2.3932
333,2020-04-13,2.4039
334,2020-04-14,2.406
335,2020-04-15,2.3961
336,2020-04-16,2.3883
337,2020-04-17,2.372
338,2020-04-20,2.3469
339,2020-04-21,2.31
340,2020-04-22,2.2978
341,2020-04-23,2.3077
342,2020-04-24,2.2906
343,2020-04-26,2.2218
344,2020-04-27,2.0229
345,2020-04-28,2.042
346,2020-04-29,2.1239
347,2020-04-30,2.1016
348,2020-05-06,2.1193
349,2020-05-07,2.0786
350,2020-05-08,2.0372
351,2020-05-09,2.0262
352,2020-05-11,2.0159
353,2020-05-12,1.9912
354,2020-05-13,1.9846
355,2020-05-14,2.0143
356,2020-05-15,2.0152
357,2020-05-18,2.0257
358,2020-05-19,2.0259
359,2020-05-20,2.0799
360,2020-05-21,2.0988
361,2020-05-22,2.126
362,2020-05-25,2.1538
363,2020-05-26,2.1714
364,2020-05-27,2.1088
365,2020-05-28,2.0958
366,2020-05-29,2.0852
367,2020-06-01,2.0953
368,2020-06-02,2.1104
369,2020-06-03,2.1839
370,2020-06-04,2.2642
371,2020-06-05,2.2379
372,2020-06-08,2.2595
373,2020-06-09,2.3604
374,2020-06-10,2.3822
375,2020-06-11,2.3826
376,2020-06-12,2.3895
377,2020-06-15,2.4685
378,2020-06-16,2.5441
379,2020-06-17,2.5646
380,2020-06-18,2.5396
381,2020-06-19,2.5197
382,2020-06-22,2.4979
383,2020-06-23,2.5559
384,2020-06-24,2.6209
385,2020-06-28,2.6452
386,2020-06-29,2.6323
387,2020-06-30,2.5975
388,2020-07-01,2.3151
389,2020-07-02,2.3295
390,2020-07-03,2.3764
391,2020-07-06,2.3844
392,2020-07-07,2.4054
393,2020-07-08,2.4733
394,2020-07-09,2.5292
395,2020-07-10,2.5342
396,2020-07-13,2.5406
397,2020-07-14,2.5508
398,2020-07-15,2.5705
399,2020-07-16,2.6138
400,2020-07-17,2.6957
401,2020-07-20,2.7255
402,2020-07-21,2.7685
403,2020-07-22,2.8522
404,2020-07-23,2.8743
405,2020-07-24,2.839
406,2020-07-27,2.7668
407,2020-07-28,2.6768
408,2020-07-29,2.6167
409,2020-07-30,2.592
410,2020-07-31,2.5375
411,2020-08-03,2.6027
